#EDL	Date	14.6.2024	Local Time	16:32:56		
Rate (Hz)	StonyBrook	Stony Brook gauge array																																			
128	element_1	element_1				element_4				element_9				element_10				element_11				element_12				element_13				element_14				element_15			
Time	Position	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge
s	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m
07:18:11.844	0.00035437	0.36822510	0.29687500	0.00000000	0.00036617	0.42245483	0.34228516	-0.00228882	-0.00019905	0.24423218	0.24951172	0.06582642	-0.00019566	0.18475342	0.18847656	0.05004883	-0.00124758	0.30297852	0.30957031	0.08258057	-0.00019855	0.14117432	0.14550781	0.03942871	-0.00101080	0.18869019	0.19238281	0.05075073	-0.00022851	0.32781982	0.33447266	0.08721924	-0.00029138	0.10617065	0.10791016	0.02749634	-0.00068897
07:18:11.852	0.00035437	0.36816406	0.29638672	0.00000000	0.00032566	0.42251587	0.34179688	-0.00234985	-0.00016357	0.24414063	0.24902344	0.06585693	-0.00028630	0.18466187	0.18847656	0.05001831	-0.00134241	0.30294800	0.30957031	0.08261108	-0.00022342	0.14129639	0.14550781	0.03942871	-0.00084775	0.18869019	0.19238281	0.05075073	-0.00022851	0.32778931	0.33447266	0.08724976	-0.00031406	0.10644531	0.10791016	0.02746582	-0.00019477
07:18:11.859	0.00035437	0.36816406	0.29638672	0.00006104	0.00032566	0.42254639	0.34179688	-0.00231934	-0.00014583	0.24401855	0.24902344	0.06585693	-0.00040714	0.18457031	0.18896484	0.04998779	-0.00143723	0.30297852	0.30957031	0.08258057	-0.00019855	0.14120483	0.14550781	0.03945923	-0.00097004	0.18862915	0.19238281	0.05075073	-0.00030735	0.32781982	0.33447266	0.08721924	-0.00029138	0.10617065	0.10791016	0.02749634	-0.00068897
07:18:11.867	0.00035437	0.36819458	0.29638672	-0.00003052	0.00034591	0.42263794	0.34179688	-0.00228882	-0.00009260	0.24389648	0.24902344	0.06579590	-0.00052798	0.18444824	0.18798828	0.04998779	-0.00156366	0.30294800	0.31005859	0.08255005	-0.00022342	0.14129639	0.14550781	0.03942871	-0.00084775	0.18869019	0.19189453	0.05075073	-0.00022851	0.32778931	0.33496094	0.08724976	-0.00031406	0.10650635	0.10791016	0.02746582	-0.00008495
07:18:11.875	0.00035437	0.36813354	0.29638672	-0.00003052	0.00030540	0.42263794	0.34228516	-0.00222778	-0.00009260	0.24374390	0.24853516	0.06576538	-0.00067903	0.18435669	0.18798828	0.04995728	-0.00165849	0.30300903	0.30957031	0.08255005	-0.00017368	0.14135742	0.14550781	0.03936768	-0.00076622	0.18865967	0.19238281	0.05078125	-0.00026793	0.32781982	0.33447266	0.08721924	-0.00029138	0.10635376	0.10791016	0.02743530	-0.00035951
07:18:11.883	0.00035437	0.36801147	0.29589844	0.00003052	0.00022438	0.42266846	0.34277344	-0.00231934	-0.00007485	0.24365234	0.24853516	0.06579590	-0.00076966	0.18426514	0.18798828	0.04998779	-0.00175331	0.30303955	0.31005859	0.08258057	-0.00014882	0.14132690	0.14648438	0.03945923	-0.00080698	0.18865967	0.19238281	0.05078125	-0.00026793	0.32781982	0.33447266	0.08721924	-0.00029138	0.10635376	0.10791016	0.02749634	-0.00035951
07:18:11.891	0.00035437	0.36801147	0.29638672	0.00003052	0.00022438	0.42266846	0.34228516	-0.00225830	-0.00007485	0.24346924	0.24853516	0.06579590	-0.00095092	0.18417358	0.18798828	0.04995728	-0.00184814	0.30300903	0.31005859	0.08255005	-0.00017368	0.14135742	0.14550781	0.03942871	-0.00076622	0.18869019	0.19238281	0.05075073	-0.00022851	0.32781982	0.33447266	0.08721924	-0.00029138	0.10635376	0.10791016	0.02749634	-0.00035951
07:18:11.898	0.00035437	0.36791992	0.29589844	0.00000000	0.00016362	0.42263794	0.34179688	-0.00234985	-0.00009260	0.24337769	0.24804688	0.06570435	-0.00104155	0.18405151	0.18798828	0.04989624	-0.00197457	0.30303955	0.30957031	0.08258057	-0.00014882	0.14129639	0.14550781	0.03942871	-0.00084775	0.18862915	0.19238281	0.05075073	-0.00030735	0.32785034	0.33447266	0.08724976	-0.00026871	0.10626221	0.10791016	0.02746582	-0.00052424
07:18:11.906	0.00035437	0.36782837	0.29638672	-0.00003052	0.00010285	0.42263794	0.34228516	-0.00234985	-0.00009260	0.24325562	0.24804688	0.06576538	-0.00116239	0.18399048	0.18798828	0.04983521	-0.00203779	0.30303955	0.31005859	0.08258057	-0.00014882	0.14141846	0.14550781	0.03942871	-0.00068469	0.18865967	0.19238281	0.05072021	-0.00026793	0.32785034	0.33447266	0.08724976	-0.00026871	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.914	0.00035437	0.36767578	0.29589844	0.00000000	0.00000158	0.42263794	0.34179688	-0.00228882	-0.00009260	0.24310303	0.24902344	0.06567383	-0.00131344	0.18399048	0.18798828	0.04983521	-0.00203779	0.30303955	0.30957031	0.08258057	-0.00014882	0.14147949	0.14599609	0.03942871	-0.00060317	0.18865967	0.19238281	0.05072021	-0.00026793	0.32778931	0.33447266	0.08724976	-0.00031406	0.10656738	0.10791016	0.02746582	0.00002487
07:18:11.922	0.00035437	0.36758423	0.29589844	0.00003052	-0.00005919	0.42257690	0.34179688	-0.00228882	-0.00012808	0.24304199	0.24804688	0.06573486	-0.00137385	0.18386841	0.18798828	0.04983521	-0.00216422	0.30307007	0.31005859	0.08255005	-0.00012395	0.14141846	0.14550781	0.03942871	-0.00068469	0.18862915	0.19287109	0.05075073	-0.00030735	0.32778931	0.33447266	0.08724976	-0.00031406	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.930	0.00035437	0.36746216	0.29589844	0.00003052	-0.00014021	0.42254639	0.34179688	-0.00231934	-0.00014583	0.24288940	0.24804688	0.06570435	-0.00152490	0.18383789	0.18750000	0.04980469	-0.00219582	0.30307007	0.31005859	0.08255005	-0.00012395	0.14154053	0.14550781	0.03948975	-0.00052164	0.18869019	0.19238281	0.05075073	-0.00022851	0.32778931	0.33447266	0.08724976	-0.00031406	0.10653687	0.10791016	0.02743530	-0.00003004
07:18:11.938	0.00035437	0.36730957	0.29541016	0.00000000	-0.00024148	0.42251587	0.34228516	-0.00228882	-0.00016357	0.24282837	0.24804688	0.06570435	-0.00158532	0.18377686	0.18798828	0.04986572	-0.00225904	0.30307007	0.30957031	0.08255005	-0.00012395	0.14144897	0.14550781	0.03945923	-0.00064393	0.18865967	0.19238281	0.05072021	-0.00026793	0.32775879	0.33447266	0.08721924	-0.00033673	0.10626221	0.10839844	0.02746582	-0.00052424
07:18:11.945	0.00035437	0.36715698	0.29589844	0.00003052	-0.00034276	0.42245483	0.34179688	-0.00228882	-0.00019905	0.24270630	0.24755859	0.06564331	-0.00170616	0.18380737	0.18750000	0.04983521	-0.00222743	0.30307007	0.30957031	0.08255005	-0.00012395	0.14163208	0.14550781	0.03945923	-0.00039935	0.18865967	0.19238281	0.05072021	-0.00026793	0.32775879	0.33447266	0.08728027	-0.00033673	0.10632324	0.10791016	0.02752686	-0.00041442
07:18:11.953	0.00035437	0.36703491	0.29541016	-0.00003052	-0.00042378	0.42236328	0.34179688	-0.00225830	-0.00025228	0.24264526	0.24755859	0.06564331	-0.00176657	0.18377686	0.18750000	0.04980469	-0.00225904	0.30310059	0.31005859	0.08258057	-0.00009908	0.14154053	0.14550781	0.03948975	-0.00052164	0.18862915	0.19238281	0.05068970	-0.00030735	0.32775879	0.33398438	0.08721924	-0.00033673	0.10635376	0.10791016	0.02749634	-0.00035951
07:18:11.961	0.00035437	0.36688232	0.29492188	0.00000000	-0.00052505	0.42227173	0.34130859	-0.00228882	-0.00030551	0.24255371	0.24755859	0.06561279	-0.00185720	0.18371582	0.18750000	0.04980469	-0.00232225	0.30307007	0.31005859	0.08261108	-0.00012395	0.14160156	0.14550781	0.03948975	-0.00044012	0.18862915	0.19238281	0.05068970	-0.00030735	0.32769775	0.33447266	0.08721924	-0.00038207	0.10617065	0.10791016	0.02749634	-0.00068897
07:18:11.969	0.00035437	0.36679077	0.29589844	0.00003052	-0.00058582	0.42218018	0.34179688	-0.00231934	-0.00035874	0.24249268	0.24755859	0.06561279	-0.00191762	0.18374634	0.18750000	0.04983521	-0.00229065	0.30310059	0.30957031	0.08258057	-0.00009908	0.14166260	0.14550781	0.03948975	-0.00035859	0.18862915	0.19238281	0.05075073	-0.00030735	0.32769775	0.33447266	0.08721924	-0.00038207	0.10656738	0.10791016	0.02752686	0.00002487
07:18:11.977	0.00035437	0.36654663	0.29541016	0.00009155	-0.00074785	0.42202759	0.34130859	-0.00234985	-0.00044745	0.24243164	0.24755859	0.06561279	-0.00197804	0.18365479	0.18750000	0.04974365	-0.00238547	0.30310059	0.31005859	0.08258057	-0.00009908	0.14160156	0.14599609	0.03948975	-0.00044012	0.18859863	0.19189453	0.05072021	-0.00034677	0.32769775	0.33447266	0.08721924	-0.00038207	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.984	0.00035437	0.36636353	0.29492188	0.00003052	-0.00086938	0.42193604	0.34130859	-0.00225830	-0.00050068	0.24240112	0.24755859	0.06558228	-0.00200825	0.18368530	0.18750000	0.04977417	-0.00235386	0.30310059	0.31005859	0.08258057	-0.00009908	0.14172363	0.14550781	0.03948975	-0.00027706	0.18859863	0.19238281	0.05072021	-0.00034677	0.32769775	0.33447266	0.08721924	-0.00038207	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.992	0.00035437	0.36627197	0.29443359	0.00006104	-0.00093014	0.42178345	0.34130859	-0.00228882	-0.00058940	0.24234009	0.24755859	0.06558228	-0.00206866	0.18368530	0.18750000	0.04977417	-0.00235386	0.30316162	0.30957031	0.08258057	-0.00004935	0.14178467	0.14599609	0.03948975	-0.00019554	0.18859863	0.19238281	0.05072021	-0.00034677	0.32769775	0.33496094	0.08721924	-0.00038207	0.10644531	0.10791016	0.02746582	-0.00019477
